file,library,model,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid,error_match,warning_match
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3-32b,True,1.477112054824829,,,groq,USPSTF_Statin_Use_CPG.md,True,True,True,True,,
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3-32b,True,1.373607873916626,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True,,
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3-32b,True,1.349463701248169,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True,,
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3-32b,True,1.4945430755615234,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True,,
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,True,1.4326858520507812,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3-32b,True,1.3938422203063965,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3-32b,True,1.615706205368042,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Depression_screening.json,DepressionScreening_CDS,qwen3-32b,True,1.575171709060669,,,groq,Depression_screening_CPG.md,True,True,True,True,,
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3-32b,True,1.3054044246673584,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True,,
Hypertension-Screening.json,Hypertension-Screening,qwen3-32b,True,1.620417833328247,,,groq,Hypertension-Screening_CPG.md,True,True,False,False,,
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen3-32b,True,1.5531108379364014,,,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,False,False,,
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen3-32b,True,1.6886131763458252,,,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,False,False,,
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen3-32b,True,0.881087064743042,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,True,,
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen3-32b,True,1.4143552780151367,,,groq,Lung-Cancer-Screening_CPG.md,True,True,True,True,,
AAA-Screening.json,AAA_Screening_CDS,qwen3-32b,True,1.560096263885498,,,groq,AAA-Screening_CPG.md,True,True,True,True,,
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,True,1.630000352859497,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True,,
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen3-32b,True,1.377363920211792,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True,,
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen3-32b,True,1.32084321975708,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True,,
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen3-32b,True,1.4164726734161377,,,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,False,False,,
Anxiety-Screening.json,Anxiety_Screening_CDS,qwen3-32b,True,1.5142674446105957,,,groq,Anxiety-Screening_CPG.md,True,True,False,False,,
HIV-Screening.json,HIV_Screening_CDS,qwen3-32b,True,1.6220130920410156,,,groq,HIV-Screening_CPG.md,True,True,False,False,,
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,qwen3-32b,True,1.3665924072265625,,,groq,Prediabetes-Obesity-Screening_CPG.md,True,True,False,False,,
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,qwen3-32b,False,1.2197990417480469,"[""In Demographic"" expression checks age >=30 instead of age >=21 as per USPSTF guidelines. The rationale states 21-65 years but the logic uses 30-65 years. This creates a clinical inconsistency in the target population criteria.]",,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,False,,
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,qwen3-32b,True,1.381953477859497,,,groq,Depression_screening_CPG.md,True,True,False,False,,
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,qwen3-32b,False,1.4189889430999756,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,False,,
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,True,1.2801032066345215,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,False,False,,
Osteoporosis-WrongLookback.json,Osteoporosis_Screening_CDS,qwen3-32b,True,1.1898252964019775,,,groq,Osteoporosis-Screening_CPG.md,True,True,False,False,,
AAA-Screening-WrongAge.json,AAA_Screening_CDS,qwen3-32b,True,1.4003350734710693,,,groq,AAA-Screening_CPG.md,True,True,False,False,,
Breast-Cancer-WrongOperator.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,True,1.4262359142303467,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,False,False,,
Tobacco-Missing-Exclusion.json,Tobacco_Use_Screening_CDS,qwen3-32b,True,1.2847342491149902,,,groq,Tobacco-Use-Screening_CPG.md,True,True,False,False,,
Lung-Cancer-Missing-SubPopulation.json,Lung_Cancer_Screening_CDS,qwen3-32b,True,1.388073444366455,,,groq,Lung-Cancer-Screening_CPG.md,True,True,False,False,,
