model,ablation_mode,label,correct,total,accuracy,ci_low,ci_high
gpt-oss-120b,full,Simplified ELM + CPG,27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
gpt-oss-120b,no_cpg,Simplified ELM only,22,31,0.7096774193548387,0.5340767066925007,0.8390419984369939
gpt-oss-120b,no_simplify,Raw JSON + CPG,24,31,0.7741935483870968,0.6018758161665793,0.8860486443873751
gpt-oss-120b,no_cpg_no_simplify,Raw JSON only,21,31,0.6774193548387096,0.5014100930808564,0.8143057343364083
gpt-oss-20b,full,Simplified ELM + CPG,28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
gpt-oss-20b,no_cpg,Simplified ELM only,19,31,0.6129032258064516,0.4382410861966073,0.7626689857961975
gpt-oss-20b,no_simplify,Raw JSON + CPG,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
gpt-oss-20b,no_cpg_no_simplify,Raw JSON only,22,31,0.7096774193548387,0.5340767066925007,0.8390419984369939
llama-3.3-70b,full,Simplified ELM + CPG,28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
llama-3.3-70b,no_cpg,Simplified ELM only,18,31,0.5806451612903226,0.4076626249536972,0.7358445693268778
llama-3.3-70b,no_simplify,Raw JSON + CPG,30,31,0.967741935483871,0.838058948352751,0.9942827784745831
llama-3.3-70b,no_cpg_no_simplify,Raw JSON only,18,31,0.5806451612903226,0.4076626249536972,0.7358445693268778
qwen3-32b,full,Simplified ELM + CPG,26,31,0.8387096774193549,0.6736564604120674,0.9290737555663471
qwen3-32b,no_cpg,Simplified ELM only,14,31,0.45161290322580644,0.2916173598052002,0.622278323626455
qwen3-32b,no_simplify,Raw JSON + CPG,26,31,0.8387096774193549,0.6736564604120674,0.9290737555663471
qwen3-32b,no_cpg_no_simplify,Raw JSON only,17,31,0.5483870967741935,0.37772167637354503,0.7083826401947998
