model,params_B,tier,correct,total,accuracy,ci_low,ci_high
gpt-oss-120b,120.0,Frontier,27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
llama-3.3-70b,70.0,Frontier,27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
qwen3-32b,32.0,Frontier,28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
gpt-oss-20b,20.0,Frontier,29,31,0.9354838709677419,0.7928136326370187,0.9821252164780855
medgemma-4b,4.0,Mid-range,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
medgemma-1.5-4b,4.0,Mid-range,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
gemma-3-4b,4.0,Mid-range,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
phi-3-mini,3.8,Mid-range,17,31,0.5483870967741935,0.37772167637354503,0.7083826401947998
qwen-2.5-3b,3.0,Failed,19,31,0.6129032258064516,0.4382410861966073,0.7626689857961975
llama-3.2-3b,3.0,Failed,14,31,0.45161290322580644,0.2916173598052002,0.622278323626455
qwen-2.5-1.5b,1.5,Failed,16,31,0.5161290322580645,0.34840395448028794,0.6802974843758269
llama-3.2-1b,1.0,Failed,18,31,0.5806451612903226,0.4076626249536972,0.7358445693268778
