model,metric,mean,ci_low,ci_high
gpt-oss-120b,error_match,0.6022727272727273,0.4090909090909091,0.7954545454545454
gpt-oss-120b,warning_match,0.9545454545454546,0.8636363636363636,1.0
llama-3.3-70b,error_match,0.6136363636363636,0.4090909090909091,0.8181818181818182
llama-3.3-70b,warning_match,0.9545454545454546,0.8636363636363636,1.0
qwen3-32b,error_match,0.7272727272727273,0.5454545454545454,0.8863636363636364
qwen3-32b,warning_match,0.9545454545454546,0.8636363636363636,1.0
gpt-oss-20b,error_match,0.75,0.5795454545454546,0.8977272727272727
gpt-oss-20b,warning_match,0.9545454545454546,0.8636363636363636,1.0
medgemma-4b,error_match,0.6818181818181818,0.5,0.8636363636363636
medgemma-4b,warning_match,0.9545454545454546,0.8636363636363636,1.0
medgemma-1.5-4b,error_match,0.6818181818181818,0.5,0.8636363636363636
medgemma-1.5-4b,warning_match,0.9545454545454546,0.8636363636363636,1.0
gemma-3-4b,error_match,0.6818181818181818,0.5,0.8636363636363636
gemma-3-4b,warning_match,0.9545454545454546,0.8636363636363636,1.0
phi-3-mini,error_match,0.5568181818181818,0.3522727272727273,0.75
phi-3-mini,warning_match,0.9545454545454546,0.8636363636363636,1.0
