model,prompt_mode,correct,total,accuracy,sens,spec
qwen3-32b,standard,38,41,0.926829268292683,0.875,0.96
qwen3-32b,few-shot,38,41,0.926829268292683,0.9375,0.92
qwen3-32b,cot,30,41,0.7317073170731707,0.8125,0.68
qwen3-32b,structured,18,41,0.43902439024390244,0.9375,0.12
qwen3-32b,minimal,29,41,0.7073170731707317,0.3125,0.96
gpt-oss-120b,standard,35,41,0.8536585365853658,0.625,1.0
gpt-oss-120b,few-shot,37,41,0.9024390243902439,0.75,1.0
gpt-oss-120b,cot,18,41,0.43902439024390244,1.0,0.08
gpt-oss-120b,structured,16,41,0.3902439024390244,1.0,0.0
gpt-oss-120b,minimal,16,41,0.3902439024390244,1.0,0.0
gpt-oss-20b,standard,31,41,0.7560975609756098,0.5,0.92
gpt-oss-20b,few-shot,35,41,0.8536585365853658,0.6875,0.96
gpt-oss-20b,cot,21,41,0.5121951219512195,0.5,0.52
gpt-oss-20b,structured,16,41,0.3902439024390244,1.0,0.0
gpt-oss-20b,minimal,16,41,0.3902439024390244,1.0,0.0
llama-3.3-70b,standard,35,41,0.8536585365853658,0.875,0.84
llama-3.3-70b,few-shot,35,41,0.8536585365853658,0.875,0.84
llama-3.3-70b,cot,33,41,0.8048780487804879,0.875,0.76
llama-3.3-70b,structured,22,41,0.5365853658536586,0.9375,0.28
llama-3.3-70b,minimal,35,41,0.8536585365853658,0.8125,0.88
