file,library,model,trial,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen-2.5-1.5b,5,True,58.740713119506836,,,local,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen-2.5-1.5b,5,False,1.3186006546020508,; The ELM implementation does not include any age thresholds or time intervals as required by the CPG.; The ELM implementation incorrectly calculates the number of confirmed conditions using an incorrect filter condition.; The ELM implementation uses a simple addition operation instead of the correct AND operator in the HasCount logic.; The ELM implementation does not provide a summary output according to the CPG specifications.,,local,Condition_Medication_Count_CPG.md,True,True,False,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen-2.5-1.5b,5,False,1.5541343688964844,"; The age threshold for the target population should be exactly 16 years and 23 years inclusive, but it is specified as 16 years and 24 years exclusive.; The lookback period for no screening needs to be exactly 1 year, but it is specified as 1 years (inclusive).; The value sets for reasons for not performing chlamydia screening need to be explicitly defined, but they are left undefined in the current implementation.",,local,Chlamydia_Screening_CPG.md,True,True,False,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen-2.5-1.5b,5,True,0.6960384845733643,,,local,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen-2.5-1.5b,5,True,0.795945405960083,,,local,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen-2.5-1.5b,5,True,0.1369493007659912,,,local,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen-2.5-1.5b,5,True,1.024787425994873,,,local,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen-2.5-1.5b,5,True,0.7040317058563232,,,local,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen-2.5-1.5b,5,True,0.8765671253204346,,,local,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen-2.5-1.5b,5,True,1.0133965015411377,,,local,Hypertension-Screening_CPG.md,True,True,False,False
