file,library,model,trial,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen-2.5-3b,3,True,73.93588495254517,,,local,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen-2.5-3b,3,True,0.17151379585266113,,,local,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen-2.5-3b,3,True,0.1852586269378662,,,local,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen-2.5-3b,3,True,0.18535542488098145,,,local,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen-2.5-3b,3,True,0.18359160423278809,,,local,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen-2.5-3b,3,True,0.1837010383605957,,,local,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen-2.5-3b,3,True,0.2028050422668457,,,local,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,qwen-2.5-3b,3,True,0.2299201488494873,,,local,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen-2.5-3b,3,True,0.2409806251525879,,,local,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,qwen-2.5-3b,3,True,0.18181157112121582,,,local,Hypertension-Screening_CPG.md,True,True,False,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen-2.5-3b,3,True,0.18376517295837402,,,local,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,False,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen-2.5-3b,3,True,0.18474864959716797,,,local,Type-2-Diabetes-Diagnosis_CPG.md,True,True,False,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen-2.5-3b,3,True,0.18867945671081543,,,local,Cervical-Cancer-Screening_CPG.md,True,True,True,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen-2.5-3b,3,True,0.20154643058776855,,,local,Lung-Cancer-Screening_CPG.md,True,True,True,True
AAA-Screening.json,AAA_Screening_CDS,qwen-2.5-3b,3,True,0.20231962203979492,,,local,AAA-Screening_CPG.md,True,True,True,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen-2.5-3b,3,True,0.18901824951171875,,,local,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen-2.5-3b,3,True,0.18772220611572266,,,local,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen-2.5-3b,3,True,0.18518853187561035,,,local,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen-2.5-3b,3,True,0.19245505332946777,,,local,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,False,False
Anxiety-Screening.json,Anxiety_Screening_CDS,qwen-2.5-3b,3,True,0.18424677848815918,,,local,Anxiety-Screening_CPG.md,True,True,False,False
HIV-Screening.json,HIV_Screening_CDS,qwen-2.5-3b,3,True,0.18491363525390625,,,local,HIV-Screening_CPG.md,True,True,False,False
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,qwen-2.5-3b,3,True,0.206345796585083,,,local,Prediabetes-Obesity-Screening_CPG.md,True,True,False,False
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,qwen-2.5-3b,3,True,0.19072437286376953,,,local,Cervical-Cancer-Screening_CPG.md,True,True,False,False
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,qwen-2.5-3b,3,True,0.23229575157165527,,,local,Depression_screening_CPG.md,True,True,False,False
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,qwen-2.5-3b,3,True,0.18775081634521484,,,local,Falls-Prevention-Screening_CPG.md,True,True,False,False
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,qwen-2.5-3b,3,True,0.18977570533752441,,,local,Alcohol-Misuse-Screening_CPG.md,True,True,False,False
Osteoporosis-WrongLookback.json,Osteoporosis_Screening_CDS,qwen-2.5-3b,3,True,0.24256491661071777,,,local,Osteoporosis-Screening_CPG.md,True,True,False,False
AAA-Screening-WrongAge.json,AAA_Screening_CDS,qwen-2.5-3b,3,True,0.201202392578125,,,local,AAA-Screening_CPG.md,True,True,False,False
Breast-Cancer-WrongOperator.json,Breast-Cancer-Screening-OpenEMR,qwen-2.5-3b,3,True,0.18377971649169922,,,local,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,False,False
Tobacco-Missing-Exclusion.json,Tobacco_Use_Screening_CDS,qwen-2.5-3b,3,True,0.18693041801452637,,,local,Tobacco-Use-Screening_CPG.md,True,True,False,False
Lung-Cancer-Missing-SubPopulation.json,Lung_Cancer_Screening_CDS,qwen-2.5-3b,3,True,0.19906830787658691,,,local,Lung-Cancer-Screening_CPG.md,True,True,False,False
IPF-Screening.json,IPF-ScreeningIE,qwen-2.5-3b,3,True,0.22695636749267578,,,local,IPF-Screening_CPG.md,True,True,True,True
IPF-Screening-WrongCT.json,IPF-Screening,qwen-2.5-3b,3,True,0.22810721397399902,,,local,IPF-Screening_CPG.md,True,True,False,False
AAA-Missing-SexRestriction.json,AAA_Screening_CDS,qwen-2.5-3b,3,True,0.20171070098876953,,,local,AAA-Screening_CPG.md,True,True,False,False
Depression-Missing-BipolarExclusion.json,DepressionScreening_CDS,qwen-2.5-3b,3,True,0.22918963432312012,,,local,Depression_screening_CPG.md,True,True,False,False
Colon-Cancer-Inverted-Procedure.json,Colon-Cancer-Screening-OpenEMR,qwen-2.5-3b,3,True,0.18349385261535645,,,local,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,False,False
Falls-Inverted-Assessment.json,Falls_Prevention_Screening_CDS,qwen-2.5-3b,3,True,0.1891615390777588,,,local,Falls-Prevention-Screening_CPG.md,True,True,False,False
Depression-WrongNesting.json,DepressionScreening_CDS,qwen-2.5-3b,3,True,0.2294325828552246,,,local,Depression_screening_CPG.md,True,True,False,False
IPF-WrongExclusionNesting.json,IPF-ScreeningIE,qwen-2.5-3b,3,True,0.23067402839660645,,,local,IPF-Screening_CPG.md,True,True,False,False
Falls-SwappedValueSet.json,Falls_Prevention_Screening_CDS,qwen-2.5-3b,3,True,0.18770337104797363,,,local,Falls-Prevention-Screening_CPG.md,True,True,False,False
Alcohol-SwappedValueSet.json,Alcohol_Misuse_Screening_CDS,qwen-2.5-3b,3,True,0.18803739547729492,,,local,Alcohol-Misuse-Screening_CPG.md,True,True,False,False
