file,library,model,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid,error_match,warning_match
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,llama-3.3-70b,False,2.3440465927124023,"; The ELM implementation uses a lookback period of 6 years for MostRecentValidLDLTest, MostRecentValidHDLTest, and MostRecentValidSmokingStatus, but the CPG does not specify the exact lookback period for these values.; The ELM implementation uses a lookback period of 42 weeks for MostRecentPregnancyObservation, but the CPG does not specify the exact lookback period for pregnancy.; The ELM implementation uses a lookback period of 1 year for MostRecentBreastfeedingObservation, but the CPG does not specify the exact lookback period for breastfeeding.; The ELM implementation uses a lookback period of 1 month for RecentEndStageRenalDiseaseEncounter and 1 week for OnDialysis, but the CPG does not specify the exact lookback period for end-stage renal disease or dialysis.; The ELM implementation uses a lookback period of 2 years for StatinMedicationStatements, StatinMedicationRequests, and StatinMedicationDispensed, but the CPG does not specify the exact lookback period for statin medication.; The ELM implementation uses specific values for LDL, HDL, and total cholesterol, but the CPG only mentions dyslipidemia as a risk factor without specifying exact values.; The ELM implementation uses a specific value of 190 mg/dL for LDL-C in the MeetsExclusionCriteria, which matches the CPG.; The age thresholds in the ELM implementation (>= 40 years and <= 75 years) match the CPG requirements.; The 10-year CVD risk threshold of >= 10% is not explicitly mentioned in the ELM implementation, but it is mentioned in the CPG.; The ELM implementation uses various value sets for different conditions, but it is not clear if these value sets match the CPG requirements.",,groq,USPSTF_Statin_Use_CPG.md,True,True,False,True,,
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,llama-3.3-70b,True,0.3663783073425293,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True,,
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,llama-3.3-70b,True,0.1689615249633789,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True,,
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,llama-3.3-70b,True,0.10712814331054688,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True,,
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,llama-3.3-70b,True,0.3211669921875,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,llama-3.3-70b,True,0.2116529941558838,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,llama-3.3-70b,True,0.25635313987731934,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,,
Depression_screening.json,DepressionScreening_CDS,llama-3.3-70b,True,0.22020268440246582,,,groq,Depression_screening_CPG.md,True,True,True,True,,
Osteoporosis screening.json,Osteoporosis_Screening_CDS,llama-3.3-70b,True,0.2887396812438965,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True,,
Hypertension-Screening.json,Hypertension-Screening,llama-3.3-70b,False,0.6973874568939209,The ELM implementation has two value mismatches with the CPG requirements:,,groq,Hypertension-Screening_CPG.md,True,True,True,False,,
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,llama-3.3-70b,False,0.3233497142791748,"The ELM implementation has an age threshold mismatch. The CPG requires an age range of 30-85 years, but the ELM implementation uses an age range of 30-80 years, with the upper limit being 5 years less than specified in the CPG.",,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False,,
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,llama-3.3-70b,False,0.8948793411254883,"The ELM implementation has a mismatch in the ""Time Intervals (Lookback Periods)"" section. The CPG requirements do not specify a lookback period of ""9 g%"" for the HbA1c Laboratory Test, whereas the ELM implementation mentions it. Additionally, the unit ""g%"" seems incorrect, as HbA1c is typically measured as a percentage (%). The CPG requires the most recent HbA1c result, but does not specify a particular lookback period. The age threshold of 18 years matches exactly.",,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False,,
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,llama-3.3-70b,True,0.2238466739654541,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,True,,
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,llama-3.3-70b,True,0.38154006004333496,,,groq,Lung-Cancer-Screening_CPG.md,True,True,True,True,,
AAA-Screening.json,AAA_Screening_CDS,llama-3.3-70b,True,0.35785794258117676,,,groq,AAA-Screening_CPG.md,True,True,True,True,,
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,llama-3.3-70b,True,0.36380624771118164,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True,,
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,llama-3.3-70b,True,0.2855551242828369,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True,,
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,llama-3.3-70b,True,0.17650794982910156,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True,,
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,llama-3.3-70b,False,0.808006763458252,,,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False,,
Anxiety-Screening.json,Anxiety_Screening_CDS,llama-3.3-70b,False,0.23006391525268555,"The ELM implementation has a lookback period of 6 months, but the CPG requires a lookback period of 1 year for anxiety disorder screening.",,groq,Anxiety-Screening_CPG.md,True,True,True,False,,
HIV-Screening.json,HIV_Screening_CDS,llama-3.3-70b,False,0.32905077934265137,The Age Threshold in the ELM implementation (Age >= 30 years) does not match the Age Threshold in the CPG requirements (Age >= 15 years AND Age <= 65 years). The ELM implementation should include both the lower (15 years) and upper (65 years) bounds for age.,,groq,HIV-Screening_CPG.md,True,True,True,False,,
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,llama-3.3-70b,False,0.805511474609375,The ELM implementation has the following mismatches with the CPG requirements:,,groq,Prediabetes-Obesity-Screening_CPG.md,True,True,True,False,,
