file,library,model,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid,error_match,warning_match
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,qwen3-32b,True,0.9707818031311035,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True,1.0,1.0
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,qwen3-32b,False,1.968756914138794,[HbA1c Laboratory Test threshold in ELM is 9 g% but CPG requires >= 6.5%],,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False,0.0,0.0
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,qwen3-32b,True,2.0930848121643066,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True,1.0,1.0
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,qwen3-32b,True,0.829444408416748,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True,1.0,1.0
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,qwen3-32b,True,0.8779454231262207,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,True,True,1.0,1.0
AAA-Screening.json,AAA_Screening_CDS,qwen3-32b,True,0.9267582893371582,,,groq,AAA-Screening_CPG.md,True,True,True,True,1.0,1.0
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,qwen3-32b,True,3.943572521209717,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,1.0,1.0
Osteoporosis screening.json,Osteoporosis_Screening_CDS,qwen3-32b,True,16.10406732559204,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True,1.0,1.0
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,qwen3-32b,True,8.147433757781982,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True,1.0,1.0
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,qwen3-32b,True,10.014334917068481,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True,1.0,1.0
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,qwen3-32b,True,9.900123357772827,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True,1.0,1.0
Hypertension-Screening.json,Hypertension-Screening,qwen3-32b,False,7.993877410888672,[Age threshold in ELM is 25 years instead of 18 years as required by CPG; Time interval in ELM is 6 months instead of 12 months (1 year) as required by CPG],,groq,Hypertension-Screening_CPG.md,True,True,True,False,0.25,1.0
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,qwen3-32b,True,10.91545057296753,,,groq,Lung-Cancer-Screening_CPG.md,True,True,True,True,1.0,1.0
Depression_screening.json,DepressionScreening_CDS,qwen3-32b,True,16.219907999038696,,,groq,Depression_screening_CPG.md,True,True,True,True,1.0,1.0
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,qwen3-32b,True,12.334356784820557,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,1.0,1.0
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,qwen3-32b,False,13.017999649047852,"[BMI threshold in ELM is 35 kg/m2 instead of 25 kg/m2, lookback period for glucose test is 1 year instead of 3 years]",,groq,Prediabetes-Obesity-Screening_CPG.md,True,True,True,False,0.0,1.0
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,qwen3-32b,False,11.212546348571777,[Age thresholds in ELM implementation are incorrect (60-75 years) compared to CPG requirements (45-75 years). Time interval in ELM implementation is 2 years compared to CPG requirement of 1 year for recent colorectal screening lookback period.],,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False,0.25,1.0
Anxiety-Screening.json,Anxiety_Screening_CDS,qwen3-32b,False,10.098501920700073,"[""Time interval mismatch: CPG requires 1 year (12 months) lookback for anxiety screening, but ELM implementation uses 6 months""]",,groq,Anxiety-Screening_CPG.md,True,True,True,False,0.5,1.0
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,qwen3-32b,False,10.403681755065918,"[Age upper limit in ELM is 80 years, but CPG requires 85 years]",,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False,0.0,1.0
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,qwen3-32b,True,25.427735328674316,,,groq,USPSTF_Statin_Use_CPG.md,True,True,True,True,1.0,1.0
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,qwen3-32b,True,9.053866863250732,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True,1.0,1.0
HIV-Screening.json,HIV_Screening_CDS,qwen3-32b,True,10.287875413894653,,,groq,HIV-Screening_CPG.md,True,True,False,False,0.0,1.0
